,Country,Ranking,Year,Total,Antidiscrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,LGBT Marketing,Equal Age of Consent,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Locals Hostile,Prosecution,Murders,Death Sentence,Trans Gender Rights,Intersex / 3rd Option,Conversion Therapy
1,Afghanistan,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,0,-2,-1,NA,NA,NA
2,Afghanistan,187,2018,-10,0,0,0,NA,0,-2,0,-1,-1,0,-2,0,-2,-1,-1,NA,NA
3,Afghanistan,183,2017,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,0,-2,-1,NA,NA,NA
4,Afghanistan,190,2019,-11,0,0,0,NA,0,-2,0,-1,-1,0,-2,-1,-2,-1,-1,NA,NA
5,Afghanistan,183,2016,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,0,-2,-1,NA,NA,NA
6,Afghanistan,195,2020,-15,0,-1,0,0,-1,-2,0,-1,-1,0,-2,-1,-2,-1,-1,-1,-1
7,Afghanistan,195,2021,-14,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,-1,-1,-1,-1
8,Albania,55,2015,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
9,Albania,80,2018,-1,2,0,0,NA,1,-1,0,0,0,0,-2,0,0,0,-1,NA,NA
10,Albania,62,2017,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
11,Albania,68,2019,0,2,0,0,NA,1,-1,0,0,0,0,-1,0,0,0,-1,NA,NA
12,Albania,61,2016,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
13,Albania,78,2020,-4,2,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1
14,Albania,60,2021,-2,2,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,1
15,Albania,49,2014,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
16,Albania,48,2013,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
17,Albania,88,2012,-3,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,NA,NA,NA
18,Algeria,183,2015,-9,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,NA,NA,NA
19,Algeria,132,2021,-9,0,-1,0,0,0,-2,0,-1,-1,0,0,-1,0,0,-1,-1,-1
20,Algeria,131,2020,-9,0,-1,0,0,-1,-2,0,-1,-1,0,0,0,0,0,-1,-1,-1
21,Andorra,22,2015,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
22,Andorra,27,2018,6,3,1,2,NA,1,0,0,0,0,0,0,0,0,0,-1,NA,NA
23,Andorra,12,2017,7,3,1,2,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
24,Andorra,28,2019,6,3,1,2,NA,1,0,0,0,0,0,0,0,0,0,-1,NA,NA
25,Andorra,10,2016,7,3,1,2,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
26,Andorra,40,2021,2,3,1,2,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1
27,Andorra,34,2020,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
28,Andorra,30,2014,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,NA,NA,NA
29,Andorra,30,2013,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,NA,NA,NA
30,Andorra,29,2012,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,NA,NA,NA
31,Angola,104,2015,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA
32,Angola,133,2018,-6,0,0,0,NA,0,-1,0,-1,-1,0,-1,-1,0,0,-1,NA,NA
33,Angola,123,2017,-5,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,NA,NA,NA
34,Angola,104,2019,-3,0,0,0,NA,0,-1,0,0,0,0,-1,0,0,0,-1,NA,NA
35,Angola,109,2016,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA
36,Angola,66,2020,-3,2,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1
37,Angola,66,2021,-3,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1
38,Antigua & Barbuda,104,2015,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,NA,NA,NA
39,Antigua & Barbuda,121,2018,-5,0,0,0,NA,0,0,0,-1,-1,0,-1,-1,0,0,-1,NA,NA
40,Antigua & Barbuda,112,2017,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,NA,NA,NA
41,Antigua & Barbuda,122,2019,-5,0,0,0,NA,0,0,0,-1,-1,0,-1,-1,0,0,-1,NA,NA
42,Antigua & Barbuda,109,2016,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,NA,NA,NA
43,Antigua & Barbuda,107,2021,-6,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1
44,Antigua & Barbuda,131,2020,-9,0,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
45,Argentina,22,2015,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
46,Argentina,34,2018,5,1,2,2,NA,1,-1,0,0,0,0,-1,0,-1,0,2,NA,NA
47,Argentina,34,2017,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
48,Argentina,28,2019,6,1,2,2,NA,1,-1,0,0,0,0,0,0,-1,0,2,NA,NA
49,Argentina,30,2016,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
50,Argentina,22,2021,6,1,2,2,1,0,-1,0,0,0,0,0,0,-1,0,2,-1,1
51,Argentina,5,2020,9,1,2,2,2,0,-1,0,0,0,0,0,0,-1,0,2,1,1
52,Argentina,16,2014,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
53,Argentina,15,2013,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
54,Argentina,14,2012,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA
55,Armenia,77,2015,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA
