,COUNTRY,LEGAL,DATE_OF_DECRIM,MAX_PENALTY,CONSTITUTIONAL_PROTECTION,BROAD_PROTECTION,EMPLOYMENT_PROTECTION,HATE_CRIME,INCITEMENT,CONVERSION_THERAPY_BAN,SAME_SEX_MARRIAGE,CIVIL_UNIONS,JOINT_ADOPTION,SECOND_PARENT_ADOPTION
1,Afghanistan,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2,Albania,YES,1995,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
3,Algeria,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4,American Samoa,YES,1980,-,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO
5,Andorra,YES,1990,-,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES
6,Angola,YES,2021,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
7,Anguilla,YES,2001,-,N/A,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
8,Antigua & Barbuda,NO,-,15,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
9,Argentina,YES,1903,-,NO,LIMITED,LIMITED,YES,NO,LIMITED,YES,YES,YES,YES
10,Armenia,YES,2003,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
11,Aruba,YES,1869,-,N/A,YES,YES,NO,YES,NO,NO,YES,NO,NO
12,Australia,YES,1994,-,NO,YES,YES,LIMITED,YES,LIMITED,YES,YES,YES,YES
13,Austria,YES,1971,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
14,Azerbaijan,YES,2000,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
15,Bahamas,YES,1991,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
16,Bahrain,YES,1976,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
17,Bangladesh,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
18,Barbados,NO,-,FOR LIFE,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
19,Belarus,YES,1994,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
20,Belgium,YES,1795,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
21,Belize,YES,2016,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
22,Benin,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
23,Bermuda,YES,1994,-,N/A,YES,YES,YES,YES,NO,NO,NO,YES,YES
24,Bhutan,NO,-,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
25,Bolivia,YES,1832,-,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
26,Bonaire,YES,1869,-,N/A,YES,YES,NO,YES,NO,YES,YES,NO,NO
27,Bosnia & Herzegovina,YES,1991-2003,-,NO,YES,YES,YES,LIMITED,NO,NO,NO,NO,NO
28,Botswana,YES,2019,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
29,Brazil,YES,1831,-,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
30,British Indian Ocean Territory,YES,0,-,N/A,NO,YES,NO,NO,NO,YES,NO,NO,NO
31,British Virgin Islands,YES,2001,-,N/A,YES,YES,LIMITED,NO,NO,NO,NO,NO,NO
32,Brunei,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
33,Bulgaria,YES,1968,-,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
34,Burkina Faso,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
35,Burundi,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
36,Cape Verde,YES,2004,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
37,Cambodia,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
38,Cameroon,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
39,Canada,YES,1969,-,NO,YES,YES,YES,YES,LIMITED,YES,YES,YES,YES
40,Cayman Islands,YES,2001,-,N/A,NO,NO,NO,NO,NO,NO,YES,NO,NO
41,Central African Republic,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
42,Chad,NO,-,2,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
43,Chile,YES,1999,-,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO
44,China,YES,1997,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
45,Colombia,YES,1981,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
46,Comoros,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
47,Congo,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
48,Cook Islands,NO,-,5,N/A,NO,YES,NO,NO,NO,NO,NO,NO,NO
49,Costa Rica,YES,1971,-,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES
50,Ivory Coast,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
51,Croatia,YES,1977,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
52,Cuba,YES,1979,-,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
53,Curacao,YES,1869,-,N/A,YES,YES,NO,YES,NO,NO,NO,NO,NO
54,Cyprus,YES,1998,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
55,Czechia,YES,1962,-,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO
56,Denmark,YES,1933,-,NO,LIMITED,YES,YES,YES,NO,YES,NO,YES,YES
57,Djibouti,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
58,Dominica,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
59,Dominican Republic,YES,1822,-,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO,NO
60,Democratic Republic of Congo,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
61,Timor-Leste,YES,1975,-,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
62,Ecuador,YES,1997,-,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
63,Egypt,DE FACTO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
64,El Salvador,YES,1826,-,NO,NO,LIMITED,YES,NO,NO,NO,NO,NO,NO
65,Equatorial Guinea,YES,0,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
66,Eritrea,NO,-,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
67,Estonia,YES,1992,-,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES
68,Eswatini,NO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
69,Ethiopia,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
70,Falkland Islands,YES,1989,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
71,Faeroe Islands,YES,1933,-,N/A,NO,YES,NO,NO,NO,YES,NO,YES,YES
72,Fiji,YES,2010,-,YES,YES,YES,NO,LIMITED,LIMITED,NO,NO,NO,NO
73,Finland,YES,1971,-,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
74,France,YES,1791,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
75,French Guiana,YES,1817,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
76,French Polynesia,YES,0,-,N/A,YES,YES,YES,YES,NO,YES,NO,YES,YES
77,Gabon,YES,2020,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
78,Gambia,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
79,Georgia,YES,2000,-,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
80,Germany,YES,1968-1969,-,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES
81,Ghana,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
82,Gibraltar,YES,1993,-,N/A,YES,YES,YES,NO,NO,YES,YES,YES,YES
83,Greece,YES,1951,-,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO
84,Greenland,YES,1933,-,N/A,NO,NO,NO,YES,NO,YES,NO,YES,YES
85,Grenada,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
86,Guadeloupe,YES,1816,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
87,Guam,YES,1977,-,N/A,NO,YES,NO,NO,NO,YES,NO,YES,YES
88,Guatemala,YES,1834,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
89,Guernsey,YES,1983,-,N/A,NO,NO,YES,NO,NO,YES,YES,YES,YES
90,Guinea,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
