"","Country","Religion","Population"
"1","Afghanistan","Muslims",40610000
"2","Albania","Muslims",2640000
"3","Algeria","Muslims",39430000
"4","American Samoa","Christians",60000
"5","Andorra","Christians",70000
"6","Angola","Christians",22190000
"7","Anguilla","Christians",10000
"8","Antigua & Barbuda","Christians",90000
"9","Argentina","Christians",37420000
"10","Armenia","Christians",3180000
"11","Aruba","Christians",1e+05
"12","Australia","Christians",15090000
"13","Austria","Christians",6720000
"14","Azerbaijan","Muslims",9870000
"15","Bahamas","Christians",360000
"16","Bahrain","Muslims",1020000
"17","Bangladesh","Muslims",153010000
"18","Barbados","Christians",270000
"19","Belarus","Christians",6650000
"20","Belgium","Christians",6590000
"21","Belize","Christians",330000
"22","Benin","Christians",6010000
"23","Bermuda","Christians",50000
"24","Bhutan","Buddhists",620000
"25","Bolivia","Christians",11120000
"26","Bosnia & Herzegovina","Christians",1810000
"27","Botswana","Christians",1700000
"28","Brazil","Christians",185430000
"29","British Virgin Islands","Christians",30000
"30","Brunei","Muslims",340000
"31","Bulgaria","Christians",5580000
"32","Burkina Faso","Muslims",14240000
"33","Myanmar","Buddhists",41440000
"34","Burundi","Christians",9180000
"35","Cambodia","Buddhists",15690000
"36","Cameroon","Christians",16750000
"37","Canada","Christians",24280000
"38","Cape Verde","Christians",510000
"39","Caribbean Netherlands","Christians",20000
"40","Cayman Islands","Christians",50000
"41","Central African Republic","Christians",4770000
"42","Chad","Muslims",8090000
"43","Channel Islands","Christians",130000
"44","Chile","Christians",16380000
"45","China","Unaffiliated",720100000
"46","Colombia","Christians",48150000
"47","Comoros","Muslims",940000
"48","Cook Islands","Christians",20000
"49","Costa Rica","Christians",4780000
"50","Croatia","Christians",4010000
"51","Cuba","Christians",6610000
"52","Curacao","Christians",160000
"53","Cyprus","Christians",880000
"54","Czechia","Unaffiliated",8280000
"55","Democratic Republic of the Congo","Christians",81520000
"56","Denmark","Christians",4640000
"57","Djibouti","Muslims",1030000
"58","Dominica","Christians",70000
"59","Dominican Republic","Christians",9930000
"60","Ecuador","Christians",15490000
"61","Egypt","Muslims",90420000
"62","El Salvador","Christians",5870000
"63","Equatorial Guinea","Christians",770000
"64","Eritrea","Christians",4230000
"65","Estonia","Unaffiliated",770000
"66","Ethiopia","Christians",62610000
"67","Faeroe Islands","Christians",50000
"68","Falkland Islands","Christians",10000
"69","Micronesia","Christians",130000
"70","Fiji","Christians",630000
"71","Finland","Christians",4280000
"72","France","Christians",37940000
"73","French Guiana","Christians",240000
"74","French Polynesia","Christians",280000
"75","Gabon","Christians",1400000
"76","Gambia","Muslims",2260000
"77","Georgia","Christians",3690000
"78","Germany","Christians",53190000
"79","Ghana","Christians",22330000
"80","Gibraltar","Christians",30000
"81","Greece","Christians",9850000
"82","Greenland","Christians",50000
"83","Grenada","Christians",120000
"84","Guadeloupe","Christians",470000
"85","Guam","Christians",190000
"86","Guatemala","Christians",17360000
"87","Guinea","Muslims",10800000
"88","Guinea-Bissau","Muslims",850000
"89","Guyana","Christians",580000
"90","Haiti","Christians",10040000
"91","Honduras","Christians",7950000
"92","Hong Kong","Unaffiliated",4090000
"93","Hungary","Christians",7680000
"94","Iceland","Christians",330000
"95","India","Hindus",1093780000
"96","Indonesia","Muslims",229620000
"97","Iran","Muslims",80880000
"98","Iraq","Muslims",41430000
"99","Ireland","Christians",4590000
